,id,name,description,category,subcategory,region,delay,universe,coverage,valueScore,userCount,alphaCount,fieldCount,pyramidMultiplier,themes,researchPapers
10,analyst48,Dividend estimation data,Dividend estimation/history on general equity and equities which are parts of some index,"{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-analyst-estimates', 'name': 'Analyst Estimates'}",GLB,1,TOP3000,0.8096,3.0,31,44,38,2.0,[],"[{'type': 'discussion', 'title': 'Getting started with Analyst Datasets', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/25238159368215-Getting-started-with-Analyst-Datasets'}]"
11,analyst69,Fundamental Analyst Estimates,"This dataset is a type of analyst dataset that contains analyst estimates for key income statement, balance sheet, and cash flow measures. Most data fields are updately daily, and has good coverage across regions. ","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-analyst-estimates', 'name': 'Analyst Estimates'}",GLB,1,TOP3000,0.9369,2.0,148,999,324,2.0,[],"[{'type': 'discussion', 'title': 'Getting started with Analyst Datasets', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/25238159368215-Getting-started-with-Analyst-Datasets'}]"
12,analyst82,Analyst estimate prediction data,Machine learning driven predictive dataset for fundamental information,"{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-analyst-estimates', 'name': 'Analyst Estimates'}",GLB,1,TOP3000,0.5568,7.0,0,0,96,2.0,[],"[{'type': 'research', 'title': 'Creating D0 Alphas with Model Data', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/18426141505431-Creating-D0-Alphas-with-Model-Data'}, {'type': 'discussion', 'title': 'Getting started with Analyst Datasets', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/25238159368215-Getting-started-with-Analyst-Datasets'}]"
13,analyst9,Analyst Estimate Daily Data,estimation from analyst,"{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-analyst-estimates', 'name': 'Analyst Estimates'}",GLB,1,TOP3000,0.8834,4.0,31,49,69,2.0,[],"[{'type': 'research', 'title': 'Research Paper 78: Price Momentum and Trading Volume', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/24095793501207-Research-Paper-78-Price-Momentum-and-Trading-Volume'}, {'type': 'discussion', 'title': 'Getting started with Analyst Datasets', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/25238159368215-Getting-started-with-Analyst-Datasets'}]"
14,earnings3,Earnings Date Data,financial report announce date information,"{'id': 'earnings', 'name': 'Earnings'}","{'id': 'earnings-earnings-estimates', 'name': 'Earnings Estimates'}",GLB,1,TOP3000,0.9864,1.0,72,220,4,2.0,[],"[{'type': 'discussion', 'title': 'Getting started with Earnings Datasets', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/25545411079703-Getting-started-with-Earnings-Datasets'}]"
15,earnings5,Earnings Date Breaks,This dataset includes comprehensive information of corporate event dates. It provides the estimated date of the event before the event. Sometimes the revision of estimated date can be a source of alpha signal.,"{'id': 'earnings', 'name': 'Earnings'}","{'id': 'earnings-earnings-estimates', 'name': 'Earnings Estimates'}",GLB,1,TOP3000,0.3597,3.0,3,4,3,2.0,[],"[{'type': 'discussion', 'title': 'Getting started with Earnings Datasets', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/25545411079703-Getting-started-with-Earnings-Datasets'}]"
16,fundamental1,Management and Executive Data,The dataset contains information about company employers with global coverage,"{'id': 'fundamental', 'name': 'Fundamental'}","{'id': 'fundamental-fundamental-models', 'name': 'Fundamental Models'}",GLB,1,TOP3000,0.2584,6.0,1,1,19,2.0,[],[]
17,fundamental13,Comprehensive Fundamentals Dataset,"The dataset holds fundamental items included in a company's balance sheet, income statement and cash flow statements. Even footnote items are included for enhancements and complete coverage for some companies. ","{'id': 'fundamental', 'name': 'Fundamental'}","{'id': 'fundamental-fundamental-data', 'name': 'Fundamental Data'}",GLB,1,TOP3000,0.3776,4.0,8,25,64,2.0,[],[]
18,fundamental17,Direct Fundamental Data,This dataset contains information about various company fundamentals from all over the world. It reports various calculated metrics and valuation data in addition to the most commonly used fundamental data and ratios.,"{'id': 'fundamental', 'name': 'Fundamental'}","{'id': 'fundamental-fundamental-data', 'name': 'Fundamental Data'}",GLB,1,TOP3000,0.7816,3.0,164,1349,733,2.0,[],"[{'type': 'research', 'title': 'Research Paper 61: Anomalies in the China A-share Market', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/17611091334295-Research-Paper-61-Anomalies-in-the-China-A-share-Market'}, {'type': 'research', 'title': 'Research Paper 84: Granular Betas and Risk Premium Functions', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/25961872556183-Research-Paper-84-Granular-Betas-and-Risk-Premium-Functions'}]"
19,fundamental21,ESG Scores Data,"This dataset has ESG scores for different ESG factors for companies. There are 5 kind of files for each factor for each stock:

Ã¢â‚¬Â¢ Pulse files: The files provide scores that measures short-term, real-time performance and focus on events of the day
Ã¢â‚¬Â¢ Insight files:  The files provide scores that are derived from pulse score using an exponentially weighted moving average (WMA) and focuses on measuring long-term performance
Ã¢â‚¬Â¢ Momentum files: Focus on measuring the trend of a company. These scores are derived from Insight Scores by measuring the slope of insight scores.
Ã¢â‚¬Â¢ Volume files: Measures by company the number of unique articles, as well as the number of categories scored daily
Ã¢â‚¬Â¢ Volume ttm  files: Measures by company the number of unique articles, as well as the number of categories scored over last 12 months","{'id': 'fundamental', 'name': 'Fundamental'}","{'id': 'fundamental-fundamental-models', 'name': 'Fundamental Models'}",GLB,1,TOP3000,0.4399,5.0,16,25,173,2.0,[],[]
20,fundamental22,Environmental and Social Governance Data,"This dataset provides objective, relevant and systematic environmental, social and governance (ESG) information based on key performance indicators (KPIs) and individual data points along with their original data sources.","{'id': 'fundamental', 'name': 'Fundamental'}","{'id': 'fundamental-fundamental-models', 'name': 'Fundamental Models'}",GLB,1,TOP3000,0.6312,5.0,1,1,1,2.0,[],[]
21,fundamental23,Fundamental Point in Time Data,This dataset gives point in time access to fundamental data for a company. It provides accurate information that is free of bias & survivorship bias. It also does not overwrite any original value so that you have an accurate idea of the history of the company value. Coverage is global.,"{'id': 'fundamental', 'name': 'Fundamental'}","{'id': 'fundamental-fundamental-data', 'name': 'Fundamental Data'}",GLB,1,TOP3000,0.6704,3.0,114,893,886,2.0,[],"[{'type': 'research', 'title': 'Research Paper 75: The Stock Market Valuation of Human Capital Creation', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/24665184414871-Research-Paper-75-The-Stock-Market-Valuation-of-Human-Capital-Creation'}, {'type': 'research', 'title': 'Research Paper 76: Value and momentum everywhere', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/24095780017303-Research-Paper-76-Value-and-momentum-everywhere'}, {'type': 'research', 'title': 'Research Paper 77: Are Online Job Postings Informative to Investors?', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/24988170282391-Research-Paper-77-Are-Online-Job-Postings-Informative-to-Investors'}, {'type': 'research', 'title': 'Research Paper 84: Granular Betas and Risk Premium Functions', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/25961872556183-Research-Paper-84-Granular-Betas-and-Risk-Premium-Functions'}]"
22,fundamental28,Global Fundamental Data,"This is a global fundamental dataset providing detailed annual and quarterly values for various items from financial statements. It has good content quality, extensive coverage & includes more than 1500+ data fields. Apart from financial statement content, it also provides per share data, calculated ratios, pricing & other textual information.","{'id': 'fundamental', 'name': 'Fundamental'}","{'id': 'fundamental-fundamental-data', 'name': 'Fundamental Data'}",GLB,1,TOP3000,0.7785,3.0,160,1401,929,2.0,[],"[{'type': 'research', 'title': 'Research Paper 68: An Augmented q-Factor Model with Expected Growth', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/17611179260823-Research-Paper-68-An-Augmented-q-Factor-Model-with-Expected-Growth'}]"
23,fundamental31,Additional Factor Model,"Market factors made by systematic evaluation process to a variety of fundamental, technical, high-frequency and sector-specific signals.","{'id': 'fundamental', 'name': 'Fundamental'}","{'id': 'fundamental-fundamental-models', 'name': 'Fundamental Models'}",GLB,1,TOP3000,0.3758,5.0,16,62,81,2.0,[],[]
24,fundamental44,Accounting Quality Models,"Machine learning based scores which contains information about accounting quality. This is done via models for fraud detection, accounting ratios, etc. The machine learning models are refitted monthly. ","{'id': 'fundamental', 'name': 'Fundamental'}","{'id': 'fundamental-fundamental-models', 'name': 'Fundamental Models'}",GLB,1,TOP3000,0.8863,3.0,22,58,12,2.0,[],[]
25,fundamental45,Systematic mining of earnings calls data,Systematic text mining of earnings calls,"{'id': 'fundamental', 'name': 'Fundamental'}","{'id': 'fundamental-fundamental-data', 'name': 'Fundamental Data'}",GLB,1,TOP3000,0.3191,4.0,5,43,12,2.0,[],[]
26,fundamental6,Company Fundamental Data for Equity,Fundamental database covers most of the world's big companies. The database also includes industry specific data and updates on quarterly basis. The data is summarized for quarterly/semiannual/yearly periods.,"{'id': 'fundamental', 'name': 'Fundamental'}","{'id': 'fundamental-fundamental-data', 'name': 'Fundamental Data'}",GLB,1,TOP3000,0.4203,3.0,18,56,197,2.0,[],"[{'type': 'research', 'title': 'Research Paper 54: Cross Impact in Derivative Markets', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/17609946232983-Research-Paper-54-Cross-Impact-in-Derivative-Markets'}, {'type': 'research', 'title': 'Research Paper 56: Intangible Value', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/17610791209495-Research-Paper-56-Intangible-Value'}, {'type': 'research', 'title': 'Research Paper 59: Market Fragmentation and Contagion', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/17611043059607-Research-Paper-59-Market-Fragmentation-and-Contagion'}, {'type': 'research', 'title': 'Research Paper 67: Understanding the Performance of the Equity Value Facto', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/17611163496343-Research-Paper-67-Understanding-the-Performance-of-the-Equity-Value-Facto'}, {'type': 'research', 'title': 'Research Paper 72: Testing for Asset Price Bubbles using Options Data', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/16412791948695-Research-Paper-72-Testing-for-Asset-Price-Bubbles-using-Options-Data'}, {'type': 'research', 'title': 'Research Paper 73: Uncertainty Resolution Before Earnings Announcements', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/16412807448599-Research-Paper-73-Uncertainty-Resolution-Before-Earnings-Announcements'}]"
27,fundamental7,Comprehensive Fundamentals Data,"The dataset holds fundamental items included in a company's balance sheet, income statement and cash flow statements. Even footnote items are included for enhancements and complete coverage for some companies. ","{'id': 'fundamental', 'name': 'Fundamental'}","{'id': 'fundamental-fundamental-data', 'name': 'Fundamental Data'}",GLB,1,TOP3000,0.3696,5.0,7,51,105,2.0,[],[]
28,fundamental72,Comprehensive Fundamental Data,"This dataset contains comprehensive fundamental data as reported for balance sheet, income statement and statement of cash flows. ","{'id': 'fundamental', 'name': 'Fundamental'}","{'id': 'fundamental-fundamental-data', 'name': 'Fundamental Data'}",GLB,1,TOP3000,0.6025,4.0,31,82,524,2.0,[],[]
29,macro10,Macroeconomic Research data,The dataset includes historical time series data for macro strategy and research.,"{'id': 'macro', 'name': 'Macro'}","{'id': 'macro-macroeconomic-activities', 'name': 'Macroeconomic Activities'}",GLB,1,TOP3000,1.0,2.0,50,147,1,2.0,[],"[{'type': 'discussion', 'title': 'Getting started with Macro Datasets', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/27157674118807-Getting-started-with-Macro-Datasets'}]"
30,macro27,Job records from job posting,"This data set contains data found in the descriptions of online job postings. This includes entry requirements, compensation ranges, etc.","{'id': 'macro', 'name': 'Macro'}","{'id': 'macro-macroeconomic-activities', 'name': 'Macroeconomic Activities'}",GLB,1,TOP3000,0.4335,3.0,38,78,23,2.0,[],"[{'type': 'research', 'title': 'Research Paper 75: The Stock Market Valuation of Human Capital Creation', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/24665184414871-Research-Paper-75-The-Stock-Market-Valuation-of-Human-Capital-Creation'}, {'type': 'research', 'title': 'Research Paper 77: Are Online Job Postings Informative to Investors?', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/24988170282391-Research-Paper-77-Are-Online-Job-Postings-Informative-to-Investors'}, {'type': 'discussion', 'title': 'Getting started with Macro Datasets', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/27157674118807-Getting-started-with-Macro-Datasets'}]"
31,model106,Analysts rating model,"The dataset provides ratings and evaluations regarding both the stock performance and its risk. The stock performance rating is based on fundamental, technical and projecting criteria. The risk evaluation takes into account both the historical bear market and bad news behavior.","{'id': 'model', 'name': 'Model'}","{'id': 'model-estimates-models', 'name': 'Estimates Models'}",GLB,1,TOP3000,0.7525,3.0,16,58,14,2.0,[],"[{'type': 'discussion', 'title': 'Getting started with Model Datasets', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/25238147759383-Getting-started-with-Model-Datasets'}]"
32,model109,Fundamentals and Technical Indicators Model,Alpha model. Normal distributed cross-sectional ranking score based on useful financial ratio or technical indicator. ,"{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",GLB,1,TOP3000,0.914,1.0,170,1892,271,2.0,[],"[{'type': 'research', 'title': 'Research Paper 81: Proactive Financial Reporting Enforcement and Shareholder Wealth', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/25961878370199-Research-Paper-81-Proactive-Financial-Reporting-Enforcement-and-Shareholder-Wealth'}, {'type': 'discussion', 'title': 'Getting started with Model Datasets', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/25238147759383-Getting-started-with-Model-Datasets'}]"
33,model110,Big data and machine learning based model,"Machine learning based scores which are catching style factor related effects. The main factors are Value, Growth, Price momentum and reversal, Sentiment, Quality, Alternative. The models are refitted monthly but the input changes every day.","{'id': 'model', 'name': 'Model'}","{'id': 'model-mlai-models', 'name': 'ML/AI Models'}",GLB,1,TOP3000,0.9298,1.0,201,1313,8,2.0,[],"[{'type': 'discussion', 'title': 'Getting started with Model Datasets', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/25238147759383-Getting-started-with-Model-Datasets'}]"
34,model138,Stock Selection from Accounting-based Factors,The dataset derived from stock-selection factor model based on representative accounting variables like profitability and financial leverage/liquidity ratios,"{'id': 'model', 'name': 'Model'}","{'id': 'model-mlai-models', 'name': 'ML/AI Models'}",GLB,1,TOP3000,0.9179,3.0,42,142,120,2.0,[],"[{'type': 'discussion', 'title': 'Getting started with Model Datasets', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/25238147759383-Getting-started-with-Model-Datasets'}]"
35,model139,Inflation based stock selection model,"The model is expected to generate signal in an inflationary environment and remains resilient should inflation retreat. By construction, the model focuses on stock-specific idiosyncratic opportunities, by neutralizing major risk factors (country, sector, size, and beta) and style factors (e.g., cyclical value, price momentum, and volatility).","{'id': 'model', 'name': 'Model'}","{'id': 'model-risk-based-models', 'name': 'Risk Based Models'}",GLB,1,TOP3000,0.5965,1.0,49,156,2,2.0,[],"[{'type': 'discussion', 'title': 'Getting started with Model Datasets', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/25238147759383-Getting-started-with-Model-Datasets'}]"
36,model162,Return prediction from conference call,Data produced by using advanced AI/deep learning methodologies.,"{'id': 'model', 'name': 'Model'}","{'id': 'model-mlai-models', 'name': 'ML/AI Models'}",GLB,1,TOP3000,0.5554,4.0,12,20,4,2.0,[],"[{'type': 'discussion', 'title': 'Getting started with Model Datasets', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/25238147759383-Getting-started-with-Model-Datasets'}]"
37,model176,Non-Financial Metric Models,"Ratings that quantify non-financial statement factors into metrics that have been demonstrated to drive cash flow, risk. Ratings cover 4500 securities globally. They are based on 6 pillars making up their rating which consists of management, health, welath, earth, equality, and trust.","{'id': 'model', 'name': 'Model'}","{'id': 'model-consumer-models', 'name': 'Consumer Models'}",GLB,1,TOP3000,0.6131,4.0,19,40,36,2.0,[],"[{'type': 'discussion', 'title': 'Getting started with Model Datasets', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/25238147759383-Getting-started-with-Model-Datasets'}]"
38,model211,Analyst estimate prediction data,Machine learning driven predictive dataset for fundamental information,"{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-analyst-estimates', 'name': 'Analyst Estimates'}",GLB,1,TOP3000,0.5567,4.0,42,121,96,2.0,[],"[{'type': 'discussion', 'title': 'Getting started with Analyst Datasets', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/25238159368215-Getting-started-with-Analyst-Datasets'}]"
39,model239,Short Selling Model,"The dataset combines features obtained from short contracts to estimate risk-neutral returns. The factors include loan rates, volume of loans, age of loans, their differences over time, and so on, and derived factors. The method of combination differs among different type of contracts and regions, and all factors are standardized to percentile. The combined score is a strong alpha mode.","{'id': 'model', 'name': 'Model'}","{'id': 'model-estimates-models', 'name': 'Estimates Models'}",GLB,1,TOP3000,1.0,6.0,1,1,16,2.0,[],"[{'type': 'discussion', 'title': 'Getting started with Model Datasets', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/25238147759383-Getting-started-with-Model-Datasets'}]"
40,model242,Global Quantitative Stock Selection Data,An quantitative stock selection model which captures some technical analysis signals.,"{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",GLB,1,TOP3000,0.9739,5.0,1,4,4,2.0,[],"[{'type': 'discussion', 'title': 'Getting started with Model Datasets', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/25238147759383-Getting-started-with-Model-Datasets'}]"
41,model26,Analyst Revisions,"This dataset provides model scores based on analyst estimates. It generates custom scores based on numerous trusted sources for analyst recommendations and targets for price, company fundamentals, growth & others. It outputs raw and processed values, as well as certain important industry ratios.","{'id': 'model', 'name': 'Model'}","{'id': 'model-revisions-models', 'name': 'Revisions Models'}",GLB,1,TOP3000,0.8454,1.0,191,1799,124,2.0,[],"[{'type': 'discussion', 'title': 'Getting started with Model Datasets', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/25238147759383-Getting-started-with-Model-Datasets'}]"
42,model262,DNN prediction of fundamentals,Market implied values of commonly used fundamental fields,"{'id': 'model', 'name': 'Model'}","{'id': 'model-estimates-models', 'name': 'Estimates Models'}",GLB,1,TOP3000,0.7698,7.0,1,2,345,2.0,[],"[{'type': 'discussion', 'title': 'Getting started with Model Datasets', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/25238147759383-Getting-started-with-Model-Datasets'}]"
43,model264,Predictive data using Deep Learning models,Time series data prediction using deep learning techniques,"{'id': 'model', 'name': 'Model'}","{'id': 'model-mlai-models', 'name': 'ML/AI Models'}",GLB,1,TOP3000,1.0,5.0,9,23,1171,2.0,[],"[{'type': 'discussion', 'title': 'Getting started with Model Datasets', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/25238147759383-Getting-started-with-Model-Datasets'}]"
44,model29,EBITDA Estimate Model,"A company's earnings before interest, taxes, depreciation, and amortization (EBITDA) is a measure of a company's profitability of the operating business only, thus before any effects of indebtedness, state-mandated payments, and costs required to maintain its asset base. This dataset provides near term as well as longer term estimates of EBITDA values. ","{'id': 'model', 'name': 'Model'}","{'id': 'model-estimates-models', 'name': 'Estimates Models'}",GLB,1,TOP3000,0.7369,2.0,30,114,14,2.0,[],"[{'type': 'discussion', 'title': 'Getting started with Model Datasets', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/25238147759383-Getting-started-with-Model-Datasets'}]"
45,model30,EPS Estimate Model,"Earnings per shareÃƒÆ’Ã†â€™Ãƒâ€ Ã¢â‚¬â„¢ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬Ãƒâ€¦Ã‚Â¡ÃƒÆ’Ã†â€™ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¡ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â (EPS) is a figure describing a public company's profit per outstanding share of stock, calculated on a quarterly or annual basis. It indicates how much money a company makes for each share of its stock and is a widely used metric for estimating corporate value. This dataset provides near term as well as longer term prediction of EPS values.","{'id': 'model', 'name': 'Model'}","{'id': 'model-estimates-models', 'name': 'Estimates Models'}",GLB,1,TOP3000,0.8187,2.0,51,194,14,2.0,[],"[{'type': 'discussion', 'title': 'Getting started with Model Datasets', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/25238147759383-Getting-started-with-Model-Datasets'}]"
46,model32,Price Momentum Model,This dataset provides multiple aspects of stock's price momentum other than traditional momentum factors. It looks into information from multiple dimensions of price momentum to provide unique & comprehensive measures. It has shown to outperform when traditional factors fail. The model translates all the components into percentile scale (1-100).,"{'id': 'model', 'name': 'Model'}","{'id': 'model-nlp-models', 'name': 'NLP Models'}",GLB,1,TOP3000,0.9746,2.0,31,138,6,2.0,[],"[{'type': 'discussion', 'title': 'Getting started with Model Datasets', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/25238147759383-Getting-started-with-Model-Datasets'}]"
